"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT09"
"USW00094726","41.67908","-70.95911","22.4","2022-05-08",,"53","43",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-09",,"57","44",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-10",,"58","46",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-11",,"62","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-12",,"76","50",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-13",,"74","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-14",,"80","49",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-15",,"74","57",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-16",,"76","55",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-17",,"73","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-18",,"73","52",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-19",,"58","53",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-20",,"68","43",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-21",,"81","60","    1",,"    1","    1",
"USW00094726","41.67908","-70.95911","22.4","2022-05-22",,"87","60",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-23",,"71","54",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-24",,"67","45",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-25",,"65","41",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-26",,"66","43",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-27",,"75","61",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-28",,"69","59",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-29",,"75","55",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-30",,"83","53",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-05-31",,"85","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-01",,"66","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-02",,"74","33",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-03",,"73","55",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-04",,"70","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-05",,"76","48",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-06",,"79","45",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-07",,"77","51",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-08",,"81","62",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-09",,"77","61",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-10",,"78","54",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-11",,"78","56",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-12",,"75","62",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-13",,"84","64","    1",,"    1",,
"USW00094726","41.67908","-70.95911","22.4","2022-06-14",,"81","57",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-15",,"76","54",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-16",,"72","48",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-17",,"81","60",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-18",,"72","55",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-19",,"61","50",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-20",,"79","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-21",,"73","47",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-22",,"72","60",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-23",,"76","53",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-24",,"79","49",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-25",,"88","57",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-26",,"89","58",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-27",,"75","66","    1",,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-28",,"80","57",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-29",,"82","54",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-06-30",,"82","56",,,,,
